respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Eu aceito participar do projeto citado acima, voluntariamente, após ter sido devidamente esclarecido.",Eu sou um,Qual a sua idade (em anos)?,Há quanto tempo você se formou em Medicina (em anos)?,Região geográfica onde atua:,Eu trabalho em um: (Mais que 1 alternativa poderá ser selecionada),,,,,Seu hospital é um hospital escola?,"Seu hospital possui acreditação JCI, ONA, QMentum ou similar?","Quais outros campos você pratica, além da anestesia? (Mais que 1 alternativa poderá ser selecionada)",,,,,,,Você possui MBA?,"Como você classifica seu grau de familiaridade sobre ""Assistência Baseada em Valor (Value Based Healthcare - VBHC)""?","Na sua opinião, o que está provocando a discussão atual sobre a necessidade de transformar o sistema de saúde, de um modelo que remunera por volume (Fee-for-Service) para um modelo que remunera por valor (Fee-for-Value), ou seja, pelos desfechos em saúde obtidos? (Mais que 1 alternativa poderá ser selecionada)",,,,,,"A remuneração de determinado grupo de anestesiologia está atrelada a cada atendimento realizado ao paciente, a partir dos códigos faturados pelo hospital com as operadoras de saúde. Este grupo é remunerado por qual sistema?",Qual o grau de confiança em sua resposta?,"O seu grupo é chamado pela direção do hospital para participar de uma reestruturação na maneira de atender os pacientes que serão submetidos a colecistectomias VLP. A direção informa que negociou com a operada o pagamento de um valor único para cada paciente elegível, da primeira consulta até 30 dias após a cirurgia, incluindo complicações, reinternações e a monitorização dos desfechos. O que o seu hospital negociou foi um:",Qual o grau de confiança em sua resposta?,"Como você define ""Valor"" em Saúde?",Qual o grau de confiança em sua resposta?,Você conhece a Equação de Valor proposta por Porter e Teisberg em 2006?,"Assinale os componentes da equação de valor de Porter (Michael Porter, Redefining Healthcare, 2006)",,Qual o grau de confiança em sua resposta?,"De 1 a 5, qual o grau de importância que você atribui às estratégias abaixo que visam melhorar o desempenho do sistema de saúde? Assinale, em seguida, aquelas já implementadas no seu hospital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,As linhas de cuidado e os critérios de pertinência do uso de recursos são ferramentas que ajudam a reduzir a variação indesejada da prática clínica. Qual seu grau de concordância com as afirmações abaixo,,,Como você é remunerado atualmente pelo seu trabalho?,Qual seu grau de satisfação com o seu modelo atual de remuneração?,Você estaria disposto a participar de projetos em parceria com o Hospital que envolvessem os conceitos de Fee-For-Value (Remuneração baseada em valor) na qual tanto o hospital quanto os médicos receberiam um valor único pelo ciclo do cuidado com cobertura de complicações relacionadas ao tratamento realizado e parte da remuneração atrelada aos desfechos?
,,,,,,,,,Response,Response,Open-Ended Response,Open-Ended Response,Response,Hospital privado – como contratado assalariado,Hospital privado – como autônomo,Hospital público – como contratado assalariado,Hospital público – como autônomo,Prefiro não dizer,Response,Response,Prática exclusiva de anestesia,Cuidados intensivos,Manejo da dor crônica,Ensino,Pesquisa,Responsabilidades administrativas,Prefiro não dizer,Response,Response,A escalada dos custos da saúde que compromete a sustentabilidade do sistema de saúde,"A demanda dos pagadores (pacientes, empresas e operadoras) por maior previsibilidade de custos",A mudança no perfil do paciente que passou a demandar mais informações e a comparar os prestadores,O movimento dos fornecedores para ganhar mercado por meio de contrato de compartilhamento de risco,Não estou ciente que este movimento vem ocorrendo,Prefiro não dizer,Response,Response,Response,Response,Response,Response,Response,Numerador,Denominador,Response,Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - 1 (menos importante),Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - 2,Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - 3,Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - 4,Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - 5 (mais importante),Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - Prefiro não dizer,Ações que reduzam a variabilidade da prática clínica (Linhas de cuidado multiprofissionais  baseadas em evidência que incluam  critérios de pertinência de uso de recursos) - Implementada no meu hospital,Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - 1 (menos importante),Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - 2,Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - 3,Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - 4,Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - 5 (mais importante),Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - Prefiro não dizer,Maior participação do médico nas decisões institucionais (Co-desenho de novos modelos) - Implementada no meu hospital,Mensuração e transparência em relação às métricas de qualidade e desfechos - 1 (menos importante),Mensuração e transparência em relação às métricas de qualidade e desfechos - 2,Mensuração e transparência em relação às métricas de qualidade e desfechos - 3,Mensuração e transparência em relação às métricas de qualidade e desfechos - 4,Mensuração e transparência em relação às métricas de qualidade e desfechos - 5 (mais importante),Mensuração e transparência em relação às métricas de qualidade e desfechos - Prefiro não dizer,Mensuração e transparência em relação às métricas de qualidade e desfechos - Implementada no meu hospital,Mensuração e divulgação dos custos envolvidos no atendimento - 1 (menos importante),Mensuração e divulgação dos custos envolvidos no atendimento - 2,Mensuração e divulgação dos custos envolvidos no atendimento - 3,Mensuração e divulgação dos custos envolvidos no atendimento - 4,Mensuração e divulgação dos custos envolvidos no atendimento - 5 (mais importante),Mensuração e divulgação dos custos envolvidos no atendimento - Prefiro não dizer,Mensuração e divulgação dos custos envolvidos no atendimento - Implementada no meu hospital,Implementação de novos modelos de remuneração baseados em valor - 1 (menos importante),Implementação de novos modelos de remuneração baseados em valor - 2,Implementação de novos modelos de remuneração baseados em valor - 3,Implementação de novos modelos de remuneração baseados em valor - 4,Implementação de novos modelos de remuneração baseados em valor - 5 (mais importante),Implementação de novos modelos de remuneração baseados em valor - Prefiro não dizer,Implementação de novos modelos de remuneração baseados em valor - Implementada no meu hospital,Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - 1 (menos importante),Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - 2,Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - 3,Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - 4,Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - 5 (mais importante),Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - Prefiro não dizer,Divulgação pública da pesquisa de satisfação dos pacientes com os médicos que o atenderam - Implementada no meu hospital,Prontuário eletrônico - 1 (menos importante),Prontuário eletrônico - 2,Prontuário eletrônico - 3,Prontuário eletrônico - 4,Prontuário eletrônico - 5 (mais importante),Prontuário eletrônico - Prefiro não dizer,Prontuário eletrônico - Implementada no meu hospital,"Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - 1 (menos importante)","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - 2","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - 3","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - 4","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - 5 (mais importante)","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - Prefiro não dizer","Implementação de novas tecnologias como Big Data, Machine Learning, Telemedicina, etc - Implementada no meu hospital","As linhas de cuidado e a definição de critérios de pertinência baseados em evidência para uso de recursos, desde que co-criadas com o time multiprofissional envolvido no cuidado, ajudam a melhorar a qualidade da assistência e a reduzir os custos",As linhas de cuidado e a definição de critérios de pertinência baseados em evidência para uso de recursos engessam a prática do médico pois limitam a capacidade de tomar decisões clínicas,As linhas de cuidado e a definição de critérios de pertinência baseados em evidência para uso de recursos têm aspectos positivos e negativos e considero que os positivos suplantam os negativos,Response,Response,Response
118480006806,453171286,11/28/2023 10:04:20 AM,11/28/2023 10:13:21 AM,152.255.98.8,,,,,Aceito,Anestesiologista formado,34,10,Sudeste,,Hospital privado – como autônomo,,Hospital público – como autônomo,,Não,Não,,Cuidados intensivos,,Ensino,,,,Não,Não tenho conhecimento sobre o tema,,"A demanda dos pagadores (pacientes, empresas e operadoras) por maior previsibilidade de custos",A mudança no perfil do paciente que passou a demandar mais informações e a comparar os prestadores,,,,"Fee for service, sendo remunerado pelo volume de atendimentos",80%,Prefiro não dizer,100%,É atingir um alto grau de satisfação do paciente mesmo que os desfechos e os custos estejam fora dos valores esperados.,80%,Não,Não conheço,Não conheço,100%,,,,4,,,,,,3,,,,,,,,4,,,,,,,4,,,,,,,4,,,,,,3,,,,,,,,4,,,,,,,4,,,,,"Nem concordo, nem discordo",Concordo totalmente,Atuo principalmente como médico autônomo e recebo por cada atendimento que realizo (Fee-For-Service),Estou insatisfeito com o modelo e acredito que uma mudança é necessária,Sim
118479383754,453171286,11/27/2023 03:21:04 PM,11/27/2023 03:27:44 PM,177.79.88.133,,,,,Aceito,Anestesiologista formado,40,16,Sudeste,,Hospital privado – como autônomo,Hospital público – como contratado assalariado,,,Não,Sim,Prática exclusiva de anestesia,,Manejo da dor crônica,,,Responsabilidades administrativas,,Sim,Não tenho conhecimento sobre o tema,,,,,Não estou ciente que este movimento vem ocorrendo,,"Fee for service, sendo remunerado pelo volume de atendimentos",80%,Pacote Cirúrgico,100%,"É a percepção do paciente em relação aos benefícios que obteve do tratamento em relação à quantia paga pelo mesmo, independente do resultado clínico obtido.",80%,Não,Não conheço,Não conheço,100%,,,,,5 (mais importante),,,,,,4,,,,,,3,,,,,,2,,,,,,,,,,,Prefiro não dizer,,,,,,,Prefiro não dizer,,,,,,5 (mais importante),,,,2,,,,,,,,,,,
118479262943,453171286,11/27/2023 01:15:20 PM,11/27/2023 01:17:19 PM,189.29.65.67,,,,,Aceito,Anestesiologista formado,37,12,Sudeste,,Hospital privado – como autônomo,,Hospital público – como autônomo,,Sim,Sim,Prática exclusiva de anestesia,,,Ensino,,,,Não,Não tenho conhecimento sobre o tema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118479236640,453171286,11/27/2023 12:52:37 PM,11/27/2023 12:53:09 PM,177.26.245.212,,,,,Aceito,Residente,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118479215050,453171286,11/27/2023 12:30:27 PM,11/27/2023 12:39:59 PM,189.96.224.244,,,,,Aceito,Anestesiologista formado,31,8,Sudeste,,Hospital privado – como autônomo,,,,Não,Sim,Prática exclusiva de anestesia,,,,,,,Não,Não tenho conhecimento sobre o tema,A escalada dos custos da saúde que compromete a sustentabilidade do sistema de saúde,,,,,,"Assalariamento, recebendo um salário fixo, independentemente do volume",100%,Pacote Cirúrgico,40%,"É a percepção do paciente em relação aos benefícios que obteve do tratamento em relação à quantia paga pelo mesmo, independente do resultado clínico obtido.",100%,Não,Não conheço,Não conheço,20%,,,3,,,,,,,,4,,,,,,,,5 (mais importante),,Implementada no meu hospital,,,,,5 (mais importante),,,,,3,,,,,,,3,,,,Implementada no meu hospital,,,,,5 (mais importante),,Implementada no meu hospital,,,,,5 (mais importante),,,Concordo totalmente,,,Atuo principalmente como médico contratado e recebo um salário mensal,"Estou satisfeito, mas estou aberto para discutir modelos alternativos",Ainda não tenho uma ideia formada a respeito mas gostaria de ouvir mais
118479207760,453171286,11/27/2023 12:22:03 PM,11/27/2023 12:36:12 PM,191.246.232.25,,,,,Aceito,Anestesiologista formado,33,8,Norte,,Hospital privado – como autônomo,,Hospital público – como autônomo,,Sim,Sim,Prática exclusiva de anestesia,,,,,,,Não,Não tenho conhecimento sobre o tema,A escalada dos custos da saúde que compromete a sustentabilidade do sistema de saúde,,,,,,"Fee for service, sendo remunerado pelo volume de atendimentos",40%,Pacote Cirúrgico,20%,"É a percepção do paciente em relação aos benefícios que obteve do tratamento em relação à quantia paga pelo mesmo, independente do resultado clínico obtido.",20%,Não,Desfechos,Desfechos,20%,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,Implementada no meu hospital,,,,,5 (mais importante),,,,,,4,,,,,,,,5 (mais importante),,,,,,,5 (mais importante),,Implementada no meu hospital,1 (menos importante),,,,,,,,Discordo,Concordo totalmente,Atuo principalmente como médico autônomo e recebo por cada atendimento que realizo (Fee-For-Service),"Estou satisfeito, mas estou aberto para discutir modelos alternativos",Ainda não tenho uma ideia formada a respeito mas gostaria de ouvir mais
118434324825,453171286,10/03/2023 10:01:19 PM,11/27/2023 11:33:44 AM,181.223.156.253,,,,,Aceito,Anestesiologista formado,35,12,Nordeste,,,Hospital público – como contratado assalariado,Hospital público – como autônomo,,Sim,Não,Prática exclusiva de anestesia,,,,,,,Sim,Interesso-me pelo tema e já li alguns artigos ou assisti palestras sobre o tema,A escalada dos custos da saúde que compromete a sustentabilidade do sistema de saúde,,,,,,"Fee for service, sendo remunerado pelo volume de atendimentos",40%,Pacote Cirúrgico,40%,"É a percepção do paciente em relação aos benefícios que obteve do tratamento em relação à quantia paga pelo mesmo, independente do resultado clínico obtido.",40%,Não,Não conheço,Não conheço,20%,,,,4,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,,4,,,,,,3,,,,,,,3,,,,,,,Concordo,Atuo principalmente como médico contratado e recebo um salário mensal,"Estou satisfeito, mas estou aberto para discutir modelos alternativos",Ainda não tenho uma ideia formada a respeito mas gostaria de ouvir mais
118479141542,453171286,11/27/2023 11:10:18 AM,11/27/2023 11:20:46 AM,179.156.48.38,,,,,Aceito,Anestesiologista formado,42,17,Nordeste,,Hospital privado – como autônomo,Hospital público – como contratado assalariado,,,Não,Sim,Prática exclusiva de anestesia,,,,,,,Não,Interesso-me pelo tema e já li alguns artigos ou assisti palestras sobre o tema,A escalada dos custos da saúde que compromete a sustentabilidade do sistema de saúde,,,,,,"Fee for service, sendo remunerado pelo volume de atendimentos",60%,Bundle,60%,São os desfechos em saúde (desfechos clínicos e desfechos reportados pelo paciente) obtidos em relação aos custos de ciclos ou episódios de cuidado.,60%,Sim,Desfechos,Custo,60%,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,Concordo totalmente,,Concordo,Atuo principalmente como médico autônomo e recebo por cada atendimento que realizo (Fee-For-Service),Estou satisfeito e não quero mudar,Ainda não tenho uma ideia formada a respeito mas gostaria de ouvir mais
118474543914,453171286,11/20/2023 12:00:20 PM,11/20/2023 12:06:52 PM,200.19.200.172,,,,,Aceito,Residente,30,6,Sul,,,Hospital público – como contratado assalariado,,,Sim,Não,,Cuidados intensivos,,,,,,Não,Tive pouco contato com o tema e não me sinto confortável em discuti-lo,,,,,Não estou ciente que este movimento vem ocorrendo,,"Assalariamento, recebendo um salário fixo, independentemente do volume",20%,Prefiro não dizer,100%,São os desfechos em saúde (desfechos clínicos e desfechos reportados pelo paciente) obtidos em relação aos custos de ciclos ou episódios de cuidado.,40%,Não,Não conheço,Não conheço,100%,,,,4,,,,,,,4,,,,,,,,5 (mais importante),,,,,,,5 (mais importante),,,,,,,,Prefiro não dizer,,,,3,,,,,,,,,5 (mais importante),,,,,,,,Prefiro não dizer,,,Discordo,Concordo totalmente,Atuo principalmente como médico contratado e recebo um salário mensal,"Estou satisfeito, mas estou aberto para discutir modelos alternativos",Ainda não tenho uma ideia formada a respeito mas gostaria de ouvir mais
